snapshot_index,num_nodes,num_edges,up_target,down_target,up_ratio,down_ratio,connectivity,dataset,dataset_path,snapshot_id,total_snapshots
0,721,400609,613,108,0.8502080443828016,0.14979195561719838,0.7717078902758514,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,0,208
1,721,393997,472,249,0.6546463245492372,0.3453536754507628,0.7589709508398829,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,1,208
2,721,396007,414,307,0.5742024965325936,0.4257975034674064,0.7628428879642472,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,2,208
3,721,392983,514,207,0.7128987517337032,0.2871012482662968,0.7570176452458006,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,3,208
4,721,389836,561,160,0.7780859916782247,0.22191400832177532,0.7509554630913854,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,4,208
5,721,393143,322,399,0.44660194174757284,0.5533980582524272,0.7573258591462475,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,5,208
6,721,397545,148,573,0.20527045769764216,0.7947295423023578,0.7658055940822931,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,6,208
7,721,392702,504,217,0.6990291262135923,0.30097087378640774,0.7564763445831407,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,7,208
8,721,391633,507,214,0.7031900138696255,0.29680998613037446,0.7544170904607798,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,8,208
9,721,390065,530,191,0.7350901525658807,0.26490984743411927,0.7513965942364,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,9,208
10,721,392247,445,276,0.6171983356449375,0.38280166435506247,0.7555998613037448,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,10,208
11,721,394199,307,414,0.42579750346740636,0.5742024965325936,0.7593600708891971,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,11,208
12,721,393488,287,434,0.39805825242718446,0.6019417475728155,0.7579904453690861,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,12,208
13,721,399597,225,496,0.3120665742024965,0.6879334257975035,0.7697584373555247,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,13,208
14,721,396419,221,500,0.3065187239944521,0.6934812760055479,0.7636365387578979,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,14,208
15,721,396114,498,223,0.6907073509015257,0.3092926490984743,0.763049006010171,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,15,208
16,721,400252,203,518,0.2815533980582524,0.7184466019417476,0.7710201880104792,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,16,208
17,721,391041,471,250,0.6532593619972261,0.3467406380027739,0.7532766990291262,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,17,208
18,721,391860,311,410,0.43134535367545074,0.5686546463245492,0.7548543689320388,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,18,208
19,721,393968,498,223,0.6907073509015257,0.3092926490984743,0.7589150870704269,train,/home/mbisoffi/tests/TemporalGNNReview/code/data/datasets/graph/NASDAQ_Train_2016-05-01_2017-06-30_19,19,208
